nome;link
1º Bimestre
LA01 - Lista de exercícios 01;https://drive.google.com/file/d/1uq7NelAxEhWop13i7W4lpvGMGWD4kQUz/view?usp=drive_link
LA02 - Lista de exercícios 02;https://drive.google.com/file/d/1Wv4mzB9KHS0gdr9QAAbMsJ2AmeYfVqbW/view?usp=drive_link
LA03 - Lista de exercícios 03;https://drive.google.com/file/d/1BQ6COUcwF3h9HiDh0wwR-El4bgiYgHuP/view?usp=sharing
LA04 - Lista de exercícios 04;https://drive.google.com/file/d/1TSoPGt4y59_l6M7CEx_ficg0hWZjwxKS/view?usp=drive_link
LA05 - Lista de exercícios 05;https://drive.google.com/file/d/1m_x0O4-ei11FmvEhII1qeWuSBqKWrVez/view?usp=drive_link
LA06 - Lista de exercícios 06;https://drive.google.com/file/d/1ppqk5RBvopL1LFERm2IV7nVNW2b_EAd1/view?usp=drive_link
Atividade Autoavaliativa 01;https://x.gd/alpN2
Atividade Autoavaliativa 02;https://x.gd/s3YBk
Atividade Autoavaliativa 03;https://x.gd/iUBOo
Atividade Autoavaliativa 04;https://x.gd/rC0SL
Atividade Autoavaliativa 05;https://x.gd/u1jiX
Atividade Autoavaliativa 06;https://x.gd/M0rNr
2º Bimestre
LA07 - Lista de exercícios 07 - repetição e strings;https://drive.google.com/file/d/1OeZFGO92rBZrTJiGKAXgf7Lz7x6V4l_O/view?usp=sharing
LA08 - Lista de exercícios 08 - repetição e strings;https://drive.google.com/file/d/1QG5CEyY_6y9URIctKbWxq-xPMc9hjUZ7/view?usp=sharing
LA09 - Lista de exercícios 09 - repetição e strings;https://drive.google.com/file/d/1tsLp37vtDv4MDIcJQrUEw36V_WzFbW-J/view?usp=sharing
Atividade Autoavaliativa 07;https://drive.google.com/file/d/19qzAVSQv51ot3stwk4YkesjF1obVYAuS/view?usp=sharing
Atividade Autoavaliativa 07 - Gabarito;https://drive.google.com/file/d/1DwODq8jjWUxG3yn8aJ68y6Te-CFGqpMe/view?usp=sharing
3º Bimestre
LA11 - Lista de exercícios 11 - Matrizes;https://drive.google.com/file/d/1-losrKir2QtJgg7-tsJEo3sEgO7AjLQL/view?usp=sharing
LA12 - Lista de exercícios 12 - Matrizes;https://github.com/rjhalmeman/js/blob/master/PDFs/3%C2%BA%20bimestre/AL12%20-%20Algoritmos%20-%20Lista%20de%20Exerc%C3%ADcios%2012%20-%20TIII%20-%203%C2%BA%20bimestre.pdf
LA13 - Lista de exercícios 12 - Objetos/vetores;https://github.com/rjhalmeman/js/blob/master/PDFs/3%C2%BA%20bimestre/AL13%20-%20Algoritmos%20-%20Lista%20de%20Exerc%C3%ADcios%2013%20-%20TIII%20-%203%C2%BA%20bimestre.pdf

----------------
Playlist no youtube com algumas explicações em vídeo;https://www.youtube.com/playlist?list=PLILSbPGh0MjajG0UyMLbUHQr9L5fo335A
Detalhes, vídeos, conceitos... estão no site;https://sites.google.com/professores.utfpr.edu.br/algoritmostiii/inicio
GitHub - Códigos prontos em Java Script;https://github.com/rjhalmeman/js
